date,close,moving_avg_7day
2026-03-24 00:00:00,2398.800048828125,2395.8428780691966
2026-03-23 00:00:00,2383.800048828125,2397.5142996651784
2026-03-20 00:00:00,2390.60009765625,2405.8857073102677
2026-03-19 00:00:00,2356.0,2416.4999651227677
2026-03-18 00:00:00,2440.800048828125,2438.9428362165177
2026-03-17 00:00:00,2391.699951171875,2451.3142438616073
2026-03-16 00:00:00,2409.199951171875,2475.0142647879466
2026-03-13 00:00:00,2410.5,2499.242850167411
2026-03-12 00:00:00,2442.39990234375,2160.5114217485702
2026-03-11 00:00:00,2464.89990234375,2009.0257214137487
2026-03-10 00:00:00,2513.10009765625,2026.5828851972308
2026-03-09 00:00:00,2527.39990234375,1672.9271567208427
2026-03-06 00:00:00,2557.60009765625,1504.0128849574498
2026-03-05 00:00:00,1382.0,1337.5471496582031
2026-03-05 00:00:00,39.380001068115234,1149.1728640965052
2026-03-05 00:00:00,2578.800048828125,1511.9985852922712
2026-03-04 00:00:00,1345.0,1346.8314181736537
2026-03-04 00:00:00,37.5099983215332,1153.0614144461495
2026-03-04 00:00:00,2587.800048828125,1516.8899928501673
2026-03-02 00:00:00,1358.0,1361.0642754690987
2026-03-02 00:00:00,39.02000045776367,1165.6671257019043
2026-03-02 00:00:00,2613.5,1532.9314111982073
2026-02-27 00:00:00,1393.9000244140625,1365.8357249668666
2026-02-27 00:00:00,41.0,1171.9071535382952
2026-02-27 00:00:00,2637.39990234375,1542.678568158831
2026-02-26 00:00:00,1406.800048828125,1360.2757284981865
2026-02-26 00:00:00,42.650001525878906,1162.254293169294
2026-02-26 00:00:00,2647.699951171875,1534.378571646554
2026-02-25 00:00:00,1398.5,1370.2642931256976
2026-02-25 00:00:00,42.0,1172.2642931256976
2026-02-25 00:00:00,2629.300048828125,1541.6328713553291
2026-02-24 00:00:00,1428.800048828125,1389.455724988665
2026-02-24 00:00:00,42.83000183105469,1192.8028646196638
2026-02-24 00:00:00,2573.699951171875,1554.221429007394
2026-02-23 00:00:00,1428.0,1386.8428399222237
2026-02-23 00:00:00,43.720001220703125,1191.7314115251813
2026-02-23 00:00:00,2676.300048828125,1567.8985612051827
2026-02-20 00:00:00,1419.4000244140625,1389.982839856829
2026-02-20 00:00:00,43.77000045776367,1190.3356900896345
2026-02-20 00:00:00,2686.199951171875,1567.8285402570452
2026-02-19 00:00:00,1409.5,1396.5514074053083
2026-02-19 00:00:00,43.130001068115234,1199.4271218436104
2026-02-19 00:00:00,2677.89990234375,1575.4113938467842
2026-02-18 00:00:00,1441.300048828125,1402.7928603036064
2026-02-18 00:00:00,43.75,1203.7428637913295
2026-02-18 00:00:00,2694.89990234375,1581.8514213562012
2026-02-17 00:00:00,1423.0,1396.7585710797991
2026-02-17 00:00:00,46.0099983215332,1200.5314314705986
2026-02-17 00:00:00,2717.39990234375,1581.4928463527135
2026-02-16 00:00:00,1437.0999755859375,1407.7257172720772
2026-02-16 00:00:00,48.13999938964844,1207.6171422685895
2026-02-16 00:00:00,2706.60009765625,1586.3442993164062
2026-02-13 00:00:00,1419.5999755859375,1444.1785850524902
2026-02-13 00:00:00,50.66999816894531,1241.6028774806432
2026-02-13 00:00:00,2692.199951171875,1618.1114420209612
2026-02-12 00:00:00,1448.9000244140625,1482.8600175040108
2026-02-12 00:00:00,55.5099983215332,1282.432874407087
2026-02-12 00:00:00,2750.10009765625,1667.7500310625348
2026-02-11 00:00:00,1468.699951171875,1488.4157109941755
2026-02-11 00:00:00,56.63999938964844,1287.7071429661341
2026-02-11 00:00:00,2909.800048828125,1697.0457213265556
2026-02-10 00:00:00,1458.5,1478.3085817609515
2026-02-10 00:00:00,52.880001068115234,1278.6057177952357
2026-02-10 00:00:00,2984.60009765625,1698.8300176348005
2026-02-09 00:00:00,1461.5999755859375,1481.954306466239
2026-02-09 00:00:00,44.43000030517578,1282.101445879255
2026-02-09 00:00:00,2948.199951171875,1697.3085817609515
2026-02-06 00:00:00,1450.800048828125,1488.9357457842145
2026-02-06 00:00:00,43.029998779296875,1286.9685957772392
2026-02-06 00:00:00,2941.60009765625,1701.597181047712
2026-02-05 00:00:00,1443.4000244140625,1520.0757424490791
2026-02-05 00:00:00,41.75,1320.7400316510882
2026-02-05 00:00:00,2991.5,1742.4357457842145
2026-02-04 00:00:00,1456.800048828125,1536.6471710205078
2026-02-04 00:00:00,39.20000076293945,1343.6185962132045
2026-02-04 00:00:00,2999.10009765625,1766.675752912249
2026-02-03 00:00:00,1437.0999755859375,1512.7528604779925
2026-02-03 00:00:00,39.630001068115234,1319.0714285714287
2026-02-03 00:00:00,3225.300048828125,1774.8042929513115
2026-02-02 00:00:00,1390.4000244140625,1502.3956930977959
2026-02-02 00:00:00,37.70000076293945,1309.0671217782158
2026-02-02 00:00:00,3169.60009765625,1756.652850014823
2026-01-30 00:00:00,1395.4000244140625,1514.5057106018066
2026-01-30 00:00:00,35.16999816894531,1320.001431601388
2026-01-30 00:00:00,3123.89990234375,1760.9242749895368
2026-01-29 00:00:00,1391.0,1514.2128639221191
2026-01-29 00:00:00,36.5,1322.2128639221191
2026-01-29 00:00:00,3144.39990234375,1766.3057071140834
2026-01-28 00:00:00,1396.699951171875,1507.8928467886788
2026-01-28 00:00:00,37.439998626708984,1315.2271357945033
2026-01-28 00:00:00,3200.10009765625,1767.2842924935478
2026-01-27 00:00:00,1380.5,1507.6156970432826
2026-01-27 00:00:00,35.75,1312.3656970432826
