year_month,avg_volume
2025-09,4526987.048780488
2025-10,5044143.412698412
2025-11,4463576.596491228
2025-12,3613352.6818181816
2026-01,5440772.903225807
2026-02,5234517.9
2026-03,5356132.2727272725
